Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
Bishop Museum (2002ax),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1788546253,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ay),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1801229132,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002az),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-1997179083,Database,Bishop Museum,2002,Bishop Museum,Bishop Museum - All-Species Checklist Query Results,Bishop Museum- Hawaiian All-Species Checklist,2002-04-10,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002b),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-886936743,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002ba),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-211166069,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002bb),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-217798106,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002bc),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-224172094,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002be),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-307937251,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002bf),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-370300778,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002bg),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-394752469,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002bh),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-617471941,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002bi),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-654848763,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002bj),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-737619867,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002c),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-940814802,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002d),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-963081739,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002e),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-964744574,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002f),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=-968899744,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002g),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1008107828,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002h),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1010868315,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002i),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1058941449,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002j),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=106503614,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002k),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1122831044,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002l),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1124341757,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002m),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1219682959,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002n),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1253650141,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002o),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1539139167,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002p),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1541397722,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002q),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=171270927,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002r),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1836112946,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002s),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1887770468,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002t),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1903061061,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002u),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=1915414159,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002v),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=2001259382,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002w),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=2024022860,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002x),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=2043182287,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002y),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=2070616034,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Bishop Museum (2002z),http://hbs.bishopmuseum.org/checklist/species.asp?grp=&taxID=216728467,Database,Bishop Museum,2002,Bishop Museum,Hawaiian All-Species Checklist,Hawaiian All-Species Checklist,2002-04-09,Bishop Museum,"Honolulu, Hawaii",,,,
Blakemore (2008),http://www.annelida.net/earthworm/American%20Earthworms.pdf,Technical Report,Annelid Worm Biodiversity Resources,2008,"Blakemore, R. J.",American earthworms (Oligochaeta) from north of the Rio Grande - a species checklist,Annelid Worm Biodiversity Resources,2008-12-01,Geoff Read,"Wellington, New Zealand",,,,hosted by http://biodiversity.uno.edu
Bode et al. (2019),https://link.springer.com/article/10.1007/s10530-018-1882-1,Article,Biological Invasions,"v. 21, No. 3","Bode, Robert Frederick, Sara Grove, and Nathan Krueger",Limits to biocontrol: the effects of urbanization and elevation on Bruchidius villosus and Exapion fuscirostre—two biological control agents of Cytisus scoparius,Biological Invasions,2019-03-01,Springer,"Dordrecht, The Netherlands",,,1021-1031,
Boldt and Sobhian (1993),https://academic.oup.com/ee/article-abstract/22/1/234/384490?redirectedFrom=fulltext,Article,Environmental Entomology,"v. 22, No. 1","Boldt, Paul E., and Rauhollah Sobhian",Release and Establishment of Aceria malherbae (Acari: Eriophyidae) for Control of Field Bindweed in Texas,Environmental Entomology,1993-02-01,Ecological Society of America,,,,234-237,
Bolger et al. (2008),https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=30C58F8FCB8FBA0AC92E8D0FB87CC53F?doi=10.1.1.848.4068&rep=rep1&type=pdf,Article,Diversity and Distributions,v. 14,"Bolger, Douglas T., Karen H. Beard, Andrew V. Suarez, and Ted J. Case",Increased abundance of native and nonnative spiders with habitat fragmentation,Diversity and Distributions,2008-01-01,Blackwell Publishing Ltd,,,,655-665,
Bolton and Carrillo (2018),https://www.fdacs.gov/content/download/79300/file/PEST_ALERT_-_Aceria_litchii_-_Erinose_mite_pest_on_lychee_V2.pdf,Pest Advisory Alert,Florida Department of Agriculture and Consumer Services,2018,"Bolton, Samuel and Daniel Carrillo","Aceria litchii (Keiffer, 1943), lychee erinose mite",Pest Alert - Florida Department of Agriculture and Consumer Services Division of Plant Industry,2018-03-01,Florida Department of Agriculture and Consumer Services,"Gainesville, Florida",,,,
Borowiec (1999),https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=720011#null,Technical Report,Integrated Taxonomic Information System (ITIS),1999,"Borowiec, Lech",A world catalogue of the Cassidinae (Coleoptera: Chrysomelidae),A world catalogue of the Cassidinae (Coleoptera: Chrysomelidae),1999-01-01,Biologicae Silesiae,"Warsaw, Poland",,,476,
Bouchemousse et al. (2016),https://www.nature.com/articles/srep24875?WT.feed_name=subjects_invasive-species,Article,Scientific Reports,v. 6,"Bouchemousse, Sarah, John D. D. Bishop, and Frederique Viard","Contrasting global genetic patterns in two biologically similar, widespread and invasive Ciona species (Tunicata, Ascidiacea)",Scientific Reports,2016-05-03,Springer Nature,"Basel, Switzerland",,,,
Bousquet (2012),https://doi.org/10.3897/zookeys.245.3416,Article,ZooKeys,v. 245,"Bousquet, Yves","Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico",ZooKeys,2012-11-28,Pensoft,"Sofia, Bulgaria",,1313-2970,1-1722,
Bousquet et al. (2013),https://zookeys.pensoft.net/articles.php?id=3634,Article,Zookeys,v. 360,"Bousquet, Yves, Patrice Bouchard, Anthony E. Davies, and Derek S. Sikes",Checklist of the Beetles (Coleoptera) of Canada and Alaska. 2nd ed.,Zookeys,2013-12-06,Pensoft,"Sofia, Bulgaria",,1313-2970,1-44,
Bowser (2009),https://www.fws.gov/uploadedFiles/Region_7/NWRS/Zone_2/Kenai/Sections/What_We_Do/In_The_Community/Refuge_Notebooks/2009_Articles/Refuge_Notebook_v11_n46.pdf,Factsheet,U.S. Fish and Wildlife Service,"v. 11, No. 46","Bowser, Matt",Alien insects of Alaska,USFWS Kenai National Wildlife Refuge Notebook,2009-11-27,U.S. Fish and Wildlife Service Kenai National Wildlife Refuge,"Soldotna, Alaska",,,89-90,
Bowser (2010),https://web.corral.tacc.utexas.edu/UAF/arctos/mediaUploads/mbowser/Bowser_ML_2010b.pdf,Technical Report,University of Texas at Austin,Undefined,"Bowser, Matthew L.",Exotic Earthworms in Alaska: an Insidious Threat,Alaska Invasive Species Conference,2008-10-28,University of Texas at Austin,"Austin, Texas",,,2,
Bowser (2015),http://www.akentsoc.org/doc/AKES_newsletter_2015_I.pdf,Article,Alaska Entomological Society,"v. 8, No. 1","Bowser, Matt",First record of a cluster fly (Calliphoridae: Pollenia) in Alaska,Newsletter of the Alaska Entomological Society,2015-03-01,Alaska Entomological Society,"Fairbanks, Alaska",,,1-2,
Bowser (2017),https://www.fws.gov/uploadedFiles/Bowser_ML_2017c.pdf,Pest Advisory Alert,U.S. Fish and Wildlife Service,Undefined,"Bowser, Matthew L.",Uninvited Guests: What to expect from insects and other small creatures dwelling in your garden,Central Peninsula Garden Club,2017-04-11,U.S. Fish and Wildlife Service,"Fairbanks, Alaska",,,44 p,
Bowser et al. (2013),https://www.fws.gov/uploadedFiles/Bowser_ML_2013.pdf,Technical Report,Alaska Society of American Foresters,2013,"Bowser, Matt, John Morton, and Deanna Saltmarsh",Below the radar: foreign earthworms infiltrate Alaskan forests,Below the radar: foreign earthworms infiltrate Alaskan forests,2013-04-25,Alaska Society of American Foresters Annual Meeting,"Anchorage, Alaska",,,,
Bowser et al. (2016),http://www.akentsoc.org/doc/AKES_newsletter_2016_I.pdf#page=26,Article,Alaska Entomological Society,"v. 9, No. 1","Bowser, Matt, Matt Goff, and Kristin DuBour","The Blackberry Skeletonizer, Schreckensteinia festaliella (Heubner) (Lepidoptera: Schreckensteiniidae) in Alaska",Newsletter of the Alaska Entomological Society,2016-04-01,Alaska Entomological Society,"Fairbanks, Alaska",,,26-27,
Boyd and Held (2006),https://journals.flvc.org/flaent/article/view/75581/73239,Article,The Florida Entomologist,"v. 89, No. 4","Boyd, David W., and David W. Held",Androthrips Ramachandrai (Thysanoptera: Phlaeothripidae): An Introduced Thrips in the United States,Florida Entomologist,2006-12-01,Florida Entomological Society,,,,455-458,
Braks et al. (2004),https://biology.illinoisstate.edu/sajulian/pdf%20pubs/braks%20et%20al%202004.pdf,Article,Annals of the Entomological Society of America,"v. 97, No. 1","Braks, M. A. H., N. A. Honorio, L. P. Lounibos, R. Lourenco-De-Oliveira, and S. A. Juliano","Interspecific Competition Between Two Invasive Species of Container Mosquitoes, Aedes aegypti and Aedes albopictus (Diptera: Culicidae), in Brazil",Annals of the Entomological Society of America,2004-01-01,Entomological Society of America,,,,130-139,
Brambila and Santana (2004),https://bioone.org/journals/florida-entomologist/volume-87/issue-4/0015-4040(2004)087%5B0585%3AFRFIVH%5D2.0.CO%3B2/FIRST-RECORDS-FOR-span-classgenus-speciesISCHNODEMUS-VARIEGATUS-span-HEMIPTERA/10.1653/0015-4040(2004)087[0585:FRFIVH]2.0.CO;2.full,Article,The Florida Entomologist,"v. 87, No. 4","Brambila, Julieta, and Frederick J. Santana",First Records for Ischnodemus variegatus Signoret (Hemiptera: Blissidae) in North America,Florida Entomologist,2004-12-01,Florida Entomological Society,,,,585-586,
Brasier and Buck (2001),https://link.springer.com/article/10.1023/A:1015248819864,Article,Biological Invasions,"v. 3, No. 3","Brasier, C. M., and K. W. Buck",Rapid Evolutionary Changes in a Globally Invading Fungal Pathogen (Dutch Elm Disease),Biological Invasions,2001-09-01,Springer,"Dordrecht, The Netherlands",,,223-233,
Brawley et al. (2009),https://www.pnas.org/content/pnas/106/20/8239.full.pdf,Article,PNAS,"v. 106, No. 20","Brawley, Susan H., James A. Coyer, April M. H. Blakeslee, Galice Hoarau, Ladd E. Johnson, James E. Byers, Wytze T. Stam, and Jeanine L. Olsen",Historical invasions of the intertidal zone of Atlantic North America associated with distinctive patterns of trade and emigration,PNAS,2009-05-19,PNAS,,,,8239-8244,
